time,metabolite,mass_isotopologue,fraction
60,citrate,M+6,0.0818640979840167
80,citrate,M+0,4.06611750617121e-07
80,citrate,M+1,1.22811541992213e-09
80,citrate,M+2,0.500003049517329
80,citrate,M+3,8.11179428051302e-07
80,citrate,M+4,0.250007847883988
80,citrate,M+5,0.166838655082332
80,citrate,M+6,0.083149228497057
120,citrate,M+0,0
120,citrate,M+1,6.15044510287151e-10
120,citrate,M+2,0.499999608259838
120,citrate,M+3,0
120,citrate,M+4,0.250000491714485
120,citrate,M+5,0.166654130148643
120,citrate,M+6,0.0833457692619895
160,citrate,M+0,0
160,citrate,M+1,3.52890752417106e-11
160,citrate,M+2,0.499999945056001
160,citrate,M+3,0
160,citrate,M+4,0.249999978413476
160,citrate,M+5,0.166664117834035
160,citrate,M+6,0.0833359586611979
0,AKG,M+0,1
0,AKG,M+1,0
0,AKG,M+2,0
0,AKG,M+3,0
0,AKG,M+4,0
0,AKG,M+5,0
1,AKG,M+0,0.999999999999861
1,AKG,M+1,0
1,AKG,M+2,1.38823810136063e-13
1,AKG,M+3,0
1,AKG,M+4,0
1,AKG,M+5,0
2,AKG,M+0,0.999999994758837
2,AKG,M+1,0
2,AKG,M+2,5.24116292627394e-09
2,AKG,M+3,0
2,AKG,M+4,0
2,AKG,M+5,0
5,AKG,M+0,0.999830183169218
5,AKG,M+1,5.12391534281915e-08
5,AKG,M+2,0.000169765494380005
5,AKG,M+3,4.86267164457212e-11
5,AKG,M+4,4.8621225858036e-11
5,AKG,M+5,7.75940504910974e-20
10,AKG,M+0,0.958704876825938
10,AKG,M+1,0.000264271546187519
10,AKG,M+2,0.040990743424398
10,AKG,M+3,2.01485884887699e-05
10,AKG,M+4,1.99558391609317e-05
10,AKG,M+5,3.77582715947989e-09
15,AKG,M+0,0.678170973940989
15,AKG,M+1,0.00709971477986465
15,AKG,M+2,0.306704333654148
15,AKG,M+3,0.00407132322915827
15,AKG,M+4,0.00394298593531449
15,AKG,M+5,1.06684605253873e-05
20,AKG,M+0,0.281608304319311
20,AKG,M+1,0.0184667234162111
20,AKG,M+2,0.60779512972411
20,AKG,M+3,0.0458466226752005
20,AKG,M+4,0.0453143037742447
20,AKG,M+5,0.000968916090922215
30,AKG,M+0,0.0141372242468094
30,AKG,M+1,0.00377937533721418
30,AKG,M+2,0.567800833604568
30,AKG,M+3,0.15839108822963
30,AKG,M+4,0.223220401661432
30,AKG,M+5,0.0326710769203453
